Anchorage Vernal Equinox,,,,Dawson City Vernal Equinox,,
1896,19-Mar,4:23 pm LMT,,1896,19-Mar,5:05 pm LMT
1897,19-Mar,10:16 pm LMT,,1897,19-Mar,10:58 pm LMT
1898,20-Mar,4:06 am LMT,,1898,20-Mar,4:48 am LMT
1899,20-Mar,9:46 am LMT,,1899,20-Mar,10:28 am LMT
1900,20-Mar,3:39 pm LMT,,1900,20-Mar,4:21 pm LMT
1901,20-Mar,9:23 pm CAT,,1901,20-Mar,10:23 pm YST
1902,21-Mar,3:16 am CAT,,1902,21-Mar,4:16 am YST
1903,21-Mar,9:14 am CAT,,1903,21-Mar,10:14 am YST
1904,20-Mar,2:58 pm CAT,,1904,20-Mar,3:58 pm YST
1905,20-Mar,8:57 pm CAT,,1905,20-Mar,9:57 pm YST
1906,21-Mar,2:52 am CAT,,1906,21-Mar,3:52 am YST
1907,21-Mar,8:32 am CAT,,1907,21-Mar,9:32 am YST
1908,20-Mar,2:27 pm CAT,,1908,20-Mar,3:27 pm YST
1909,20-Mar,8:12 pm CAT,,1909,20-Mar,9:12 pm YST
1910,21-Mar,2:02 am CAT,,1910,21-Mar,3:02 am YST
1911,21-Mar,7:54 am CAT,,1911,21-Mar,8:54 am YST
1912,20-Mar,1:29 pm CAT,,1912,20-Mar,2:29 pm YST
1913,20-Mar,7:17 pm CAT,,1913,20-Mar,8:17 pm YST
1914,21-Mar,1:10 am CAT,,1914,21-Mar,2:10 am YST
1915,21-Mar,6:51 am CAT,,1915,21-Mar,7:51 am YST
1916,20-Mar,12:46 pm CAT,,1916,20-Mar,1:46 pm YST
1917,20-Mar,6:37 pm CAT,,1917,20-Mar,7:37 pm YST
1918,21-Mar,12:25 am CAT,,1918,21-Mar,1:25 am YST
1919,21-Mar,6:19 am CAT,,1919,21-Mar,7:19 am YST
1920,20-Mar,11:59 am CAT,,1920,20-Mar,12:59 pm YST
1921,20-Mar,5:50 pm CAT,,1921,20-Mar,6:50 pm YST
1922,20-Mar,11:48 pm CAT,,1922,21-Mar,12:48 am YST
1923,21-Mar,5:28 am CAT,,1923,21-Mar,6:28 am YST
1924,20-Mar,11:20 am CAT,,1924,20-Mar,12:20 pm YST
1925,20-Mar,5:12 pm CAT,,1925,20-Mar,6:12 pm YST
1926,20-Mar,11:01 pm CAT,,1926,21-Mar,12:01 am YST
1927,21-Mar,4:59 am CAT,,1927,21-Mar,5:59 am YST
1928,20-Mar,10:44 am CAT,,1928,20-Mar,11:44 am YST
1929,20-Mar,4:34 pm CAT,,1929,20-Mar,5:34 pm YST
1930,20-Mar,10:29 pm CAT,,1930,20-Mar,11:29 pm YST
1931,21-Mar,4:06 am CAT,,1931,21-Mar,5:06 am YST
1932,20-Mar,9:53 am CAT,,1932,20-Mar,10:53 am YST
1933,20-Mar,3:42 pm CAT,,1933,20-Mar,4:42 pm YST
1934,20-Mar,9:27 pm CAT,,1934,20-Mar,10:27 pm YST
1935,21-Mar,3:17 am CAT,,1935,21-Mar,4:17 am YST
1936,20-Mar,8:57 am CAT,,1936,20-Mar,9:57 am YST
1937,20-Mar,2:44 pm CAT,,1937,20-Mar,3:44 pm YST
1938,20-Mar,8:43 pm CAT,,1938,20-Mar,9:43 pm YST
1939,21-Mar,2:28 am CAT,,1939,21-Mar,3:28 am YST
1940,20-Mar,8:23 am CAT,,1940,20-Mar,9:23 am YST
1941,20-Mar,2:20 pm CAT,,1941,20-Mar,3:20 pm YST
1942,20-Mar,9:10 pm CAWT,,1942,20-Mar,10:10 pm YWT
1943,21-Mar,3:02 am CAWT,,1943,21-Mar,4:02 am YWT
1944,20-Mar,8:48 am CAWT,,1944,20-Mar,9:48 am YWT
1945,20-Mar,2:37 pm CAWT,,1945,20-Mar,3:37 pm YWT
1946,20-Mar,7:32 pm CAT,,1946,20-Mar,8:32 pm YST
1947,21-Mar,1:12 am CAT,,1947,21-Mar,2:12 am YST
1948,20-Mar,6:56 am CAT,,1948,20-Mar,7:56 am YST
1949,20-Mar,12:47 pm CAT,,1949,20-Mar,1:47 pm YST
1950,20-Mar,6:35 pm CAT,,1950,20-Mar,7:35 pm YST
1951,21-Mar,12:25 am CAT,,1951,21-Mar,1:25 am YST
1952,20-Mar,6:13 am CAT,,1952,20-Mar,7:13 am YST
1953,20-Mar,12:00 noon CAT,,1953,20-Mar,1:00 pm YST
1954,20-Mar,5:53 pm CAT,,1954,20-Mar,6:53 pm YST
1955,20-Mar,11:35 pm CAT,,1955,21-Mar,12:35 am YST
1956,20-Mar,5:20 am CAT,,1956,20-Mar,6:20 am YST
1957,20-Mar,11:16 am CAT,,1957,20-Mar,12:16 pm YST
1958,20-Mar,5:05 pm CAT,,1958,20-Mar,6:05 pm YST
1959,20-Mar,10:54 pm CAT,,1959,20-Mar,11:54 pm YST
1960,20-Mar,4:42 am CAT,,1960,20-Mar,5:42 am YST
1961,20-Mar,10:31 am CAT,,1961,20-Mar,11:31 am YST
1962,20-Mar,4:29 pm CAT,,1962,20-Mar,5:29 pm YST
1963,20-Mar,10:19 pm CAT,,1963,20-Mar,11:19 pm YST
1964,20-Mar,4:09 am CAT,,1964,20-Mar,5:09 am YST
1965,20-Mar,10:04 am CAT,,1965,20-Mar,11:04 am YST
1966,20-Mar,3:52 pm CAT,,1966,20-Mar,4:52 pm YST
1967,20-Mar,9:36 pm CAT,,1967,20-Mar,10:36 pm YST
1968,20-Mar,3:21 am AHST,,1968,20-Mar,4:21 am YST
1969,20-Mar,9:08 am AHST,,1969,20-Mar,10:08 am YST
1970,20-Mar,2:56 pm AHST,,1970,20-Mar,3:56 pm YST
1971,20-Mar,8:38 pm AHST,,1971,20-Mar,9:38 pm YST
1972,20-Mar,2:21 am AHST,,1972,20-Mar,3:21 am YST
1973,20-Mar,8:12 am AHST,,1973,20-Mar,9:12 am YST
1974,20-Mar,3:06 pm AHDT,,1974,20-Mar,4:06 pm PST
1975,20-Mar,8:56 pm AHDT,,1975,20-Mar,9:56 pm PST
1976,20-Mar,1:49 am AHST,,1976,20-Mar,3:49 am PST
1977,20-Mar,7:42 am AHST,,1977,20-Mar,9:42 am PST
1978,20-Mar,1:33 pm AHST,,1978,20-Mar,3:33 pm PST
1979,20-Mar,7:22 pm AHST,,1979,20-Mar,9:22 pm PST
1980,20-Mar,1:09 am AHST,,1980,20-Mar,3:09 am PST
1981,20-Mar,7:02 am AHST,,1981,20-Mar,9:02 am PST
1982,20-Mar,12:55 pm AHST,,1982,20-Mar,2:55 pm PST
1983,20-Mar,6:38 pm AHST,,1983,20-Mar,8:38 pm PST
1984,20-Mar,1:24 am AKST,,1984,20-Mar,2:24 am PST
1985,20-Mar,7:13 am AKST,,1985,20-Mar,8:13 am PST
1986,20-Mar,1:02 pm AKST,,1986,20-Mar,2:02 pm PST
1987,20-Mar,6:51 pm AKST,,1987,20-Mar,7:51 pm PST
1988,20-Mar,12:38 am AKST,,1988,20-Mar,1:38 am PST
1989,20-Mar,6:28 am AKST,,1989,20-Mar,7:28 am PST
1990,20-Mar,12:19 pm AKST,,1990,20-Mar,1:19 pm PST
1991,20-Mar,6:01 pm AKST,,1991,20-Mar,7:01 pm PST
1992,19-Mar,11:47 pm AKST,,1992,20-Mar,12:47 am PST
1993,20-Mar,5:40 am AKST,,1993,20-Mar,6:40 am PST
1994,20-Mar,11:27 am AKST,,1994,20-Mar,12:27 pm PST
1995,20-Mar,5:14 pm AKST,,1995,20-Mar,6:14 pm PST
1996,19-Mar,11:03 pm AKST,,1996,20-Mar,12:03 am PST
1997,20-Mar,4:54 am AKST,,1997,20-Mar,5:54 am PST
1998,20-Mar,10:54 am AKST,,1998,20-Mar,11:54 am PST
1999,20-Mar,4:45 pm AKST,,1999,20-Mar,5:45 pm PST
2000,19-Mar,10:35 pm AKST,,2000,19-Mar,11:35 pm PST
2001,20-Mar,4:30 am AKST,,2001,20-Mar,5:30 am PST
2002,20-Mar,10:16 am AKST,,2002,20-Mar,11:16 am PST
2003,20-Mar,3:59 pm AKST,,2003,20-Mar,4:59 pm PST
2004,19-Mar,9:48 pm AKST,,2004,19-Mar,10:48 pm PST
2005,20-Mar,3:33 am AKST,,2005,20-Mar,4:33 am PST
2006,20-Mar,9:25 am AKST,,2006,20-Mar,10:25 am PST
2007,20-Mar,4:07 pm AKDT,,2007,20-Mar,5:07 pm PDT
2008,19-Mar,9:48 pm AKDT,,2008,19-Mar,10:48 pm PDT
2009,20-Mar,3:43 am AKDT,,2009,20-Mar,4:43 am PDT
2010,20-Mar,9:32 am AKDT,,2010,20-Mar,10:32 am PDT
2011,20-Mar,3:20 pm AKDT,,2011,20-Mar,4:20 pm PDT
2012,19-Mar,9:14 pm AKDT,,2012,19-Mar,10:14 pm PDT
2013,20-Mar,3:01 am AKDT,,2013,20-Mar,4:01 am PDT
2014,20-Mar,8:57 am AKDT,,2014,20-Mar,9:57 am PDT
2015,20-Mar,2:45 pm AKDT,,2015,20-Mar,3:45 pm PDT
2016,19-Mar,8:30 pm AKDT,,2016,19-Mar,9:30 pm PDT
2017,20-Mar,2:28 am AKDT,,2017,20-Mar,3:28 am PDT
2018,20-Mar,8:15 am AKDT,,2018,20-Mar,9:15 am PDT
